"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GO_definition","GO_ontology","GO_term","group"
"30","GO:0015079","Potassium transporter","10/530","64/32782",7.76939730520689e-08,3.69046371997327e-06,3.02597579255426e-06,"HORVU.MOREX.r2.2HG0158090/HORVU.MOREX.r2.2HG0158800/HORVU.MOREX.r2.2HG0093910/HORVU.MOREX.r2.5HG0420460/HORVU.MOREX.r2.2HG0117130/HORVU.MOREX.r2.3HG0262540/HORVU.MOREX.r2.1HG0007070/HORVU.MOREX.r2.7HG0599600/HORVU.MOREX.r2.7HG0557110/HORVU.MOREX.r2.1HG0054170",10,"Enables the transfer of potassium ions (K+) from one side of a membrane to the other.","MF","potassium ion transmembrane transporter activity","eQTL_cluster4"
"31","GO:0015116","Sulfate transporter 1.1-like protein","4/530","18/32782",0.000172640498535882,0.00223647918557847,0.00183378902751032,"HORVU.MOREX.r2.7HG0614570/HORVU.MOREX.r2.2HG0169630/HORVU.MOREX.r2.5HG0401430/HORVU.MOREX.r2.4HG0332690",4,"Enables the transfer of sulfate ions, SO4(2-), from one side of a membrane to the other.","MF","sulfate transmembrane transporter activity","eQTL_cluster4"
"32","GO:0015238","Protein DETOXIFICATION","9/530","86/32782",1.07560380482433e-05,0.000255455903645778,0.000209459688307896,"HORVU.MOREX.r2.5HG0354890/HORVU.MOREX.r2.5HG0414770/HORVU.MOREX.r2.1HG0069800/HORVU.MOREX.r2.1HG0006150/HORVU.MOREX.r2.2HG0116210/HORVU.MOREX.r2.2HG0110730/HORVU.MOREX.r2.7HG0595480/HORVU.MOREX.r2.3HG0269880/HORVU.MOREX.r2.4HG0295800",9,NA,NA,NA,"eQTL_cluster4"
"33","GO:0015267","Aquaporin","5/530","55/32782",0.00193851920532625,0.0178218701134833,0.0146129461318312,"HORVU.MOREX.r2.6HG0499320/HORVU.MOREX.r2.2HG0109930/HORVU.MOREX.r2.4HG0344040/HORVU.MOREX.r2.3HG0206910/HORVU.MOREX.r2.5HG0391620",5,"Enables the energy-independent facilitated diffusion, mediated by passage of a solute through a transmembrane aqueous pore or channel. Stereospecificity is not exhibited but this transport may be specific for a particular molecular species or class of molecules.","MF","channel activity","eQTL_cluster4"
"34","GO:0015297","Protein DETOXIFICATION","10/530","113/32782",1.57188704286392e-05,0.000344606005550936,0.000282557832806308,"HORVU.MOREX.r2.2HG0178310/HORVU.MOREX.r2.5HG0354890/HORVU.MOREX.r2.5HG0414770/HORVU.MOREX.r2.1HG0069800/HORVU.MOREX.r2.1HG0006150/HORVU.MOREX.r2.2HG0116210/HORVU.MOREX.r2.2HG0110730/HORVU.MOREX.r2.7HG0595480/HORVU.MOREX.r2.3HG0269880/HORVU.MOREX.r2.4HG0295800",10,"Enables the active transport of a solute across a membrane by a mechanism whereby two or more species are transported in opposite directions in a tightly coupled process not directly linked to a form of energy other than chemiosmotic energy. The reaction is: solute A(out) + solute B(in) = solute A(in) + solute B(out).","MF","antiporter activity","eQTL_cluster4"
"35","GO:0015299","Cation/H(+) antiporter","6/530","48/32782",0.000119768493896722,0.00213337629753537,0.00174925037138634,"HORVU.MOREX.r2.2HG0178310/HORVU.MOREX.r2.5HG0354890/HORVU.MOREX.r2.5HG0349640/HORVU.MOREX.r2.5HG0363210/HORVU.MOREX.r2.7HG0595380/HORVU.MOREX.r2.5HG0384950",6,"Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: solute(out) + H+(in) = solute(in) + H+(out).","MF","solute:proton antiporter activity","eQTL_cluster4"
"36","GO:0016125","Cytochrome P450 family protein","4/530","19/32782",0.000215891309231296,0.00267517491873563,0.00219349522422644,"HORVU.MOREX.r2.2HG0155060/HORVU.MOREX.r2.6HG0500250/HORVU.MOREX.r2.2HG0155110/HORVU.MOREX.r2.2HG0149890",4,"The chemical reactions and pathways involving sterols, steroids with one or more hydroxyl groups and a hydrocarbon side-chain in the molecule.","BP","sterol metabolic process","eQTL_cluster4"
"37","GO:0016132","Cytochrome P450 family protein","5/530","14/32782",1.92368885867677e-06,6.09168138580979e-05,4.99484124709057e-05,"HORVU.MOREX.r2.3HG0251730/HORVU.MOREX.r2.2HG0155060/HORVU.MOREX.r2.6HG0500250/HORVU.MOREX.r2.2HG0155110/HORVU.MOREX.r2.2HG0149890",5,"The chemical reactions and pathways resulting in the formation of brassinosteroids, any of a group of steroid derivatives that occur at very low concentrations in plant tissues and may have hormone-like effects.","BP","brassinosteroid biosynthetic process","eQTL_cluster4"
"38","GO:0016887","ABC transporter ATP-binding protein","15/530","349/32782",0.000630806210010072,0.00665850999455076,0.00545960930301115,"HORVU.MOREX.r2.2HG0118000/HORVU.MOREX.r2.4HG0321840/HORVU.MOREX.r2.5HG0424850/HORVU.MOREX.r2.2HG0161910/HORVU.MOREX.r2.3HG0275220/HORVU.MOREX.r2.5HG0424840/HORVU.MOREX.r2.6HG0476760/HORVU.MOREX.r2.5HG0421070/HORVU.MOREX.r2.3HG0257810/HORVU.MOREX.r2.4HG0321420/HORVU.MOREX.r2.1HG0046710/HORVU.MOREX.r2.7HG0597200/HORVU.MOREX.r2.3HG0225110/HORVU.MOREX.r2.6HG0479930/HORVU.MOREX.r2.2HG0137130",15,"Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.","MF","ATPase activity","eQTL_cluster4"
"39","GO:0022857","WAT1-related protein","45/530","405/32782",2.69231675468671e-24,7.67310275085713e-22,6.29151915305737e-22,"HORVU.MOREX.r2.3HG0241460/HORVU.MOREX.r2.6HG0468110/HORVU.MOREX.r2.1HG0042180/HORVU.MOREX.r2.7HG0529500/HORVU.MOREX.r2.6HG0513560/HORVU.MOREX.r2.3HG0264810/HORVU.MOREX.r2.2HG0111520/HORVU.MOREX.r2.3HG0192310/HORVU.MOREX.r2.7HG0543340/HORVU.MOREX.r2.3HG0241430/HORVU.MOREX.r2.2HG0147120/HORVU.MOREX.r2.7HG0612020/HORVU.MOREX.r2.6HG0513520/HORVU.MOREX.r2.7HG0538510/HORVU.MOREX.r2.2HG0149910/HORVU.MOREX.r2.5HG0349490/HORVU.MOREX.r2.3HG0214260/HORVU.MOREX.r2.6HG0513820/HORVU.MOREX.r2.2HG0083720/HORVU.MOREX.r2.7HG0543350/HORVU.MOREX.r2.5HG0385500/HORVU.MOREX.r2.5HG0396070/HORVU.MOREX.r2.3HG0200760/HORVU.MOREX.r2.7HG0529000/HORVU.MOREX.r2.1HG0021280/HORVU.MOREX.r2.2HG0118280/HORVU.MOREX.r2.6HG0449580/HORVU.MOREX.r2.5HG0390690/HORVU.MOREX.r2.7HG0613170/HORVU.MOREX.r2.6HG0513540/HORVU.MOREX.r2.7HG0578670/HORVU.MOREX.r2.4HG0347430/HORVU.MOREX.r2.6HG0510530/HORVU.MOREX.r2.6HG0503490/HORVU.MOREX.r2.6HG0449480/HORVU.MOREX.r2.7HG0550340/HORVU.MOREX.r2.7HG0560520/HORVU.MOREX.r2.5HG0438660/HORVU.MOREX.r2.1HG0050560/HORVU.MOREX.r2.3HG0182580/HORVU.MOREX.r2.2HG0157420/HORVU.MOREX.r2.3HG0189240/HORVU.MOREX.r2.3HG0258050/HORVU.MOREX.r2.5HG0379640/HORVU.MOREX.r2.3HG0264820",45,"Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other.","MF","transmembrane transporter activity","eQTL_cluster4"
"40","GO:0032440","Receptor protein kinase, putative","11/530","185/32782",0.000229054884170967,0.00272002674953024,0.00223027124061205,"HORVU.MOREX.r2.6HG0468110/HORVU.MOREX.r2.1HG0042180/HORVU.MOREX.r2.2HG0148770/HORVU.MOREX.r2.3HG0264810/HORVU.MOREX.r2.2HG0111520/HORVU.MOREX.r2.5HG0349490/HORVU.MOREX.r2.2HG0083720/HORVU.MOREX.r2.5HG0390690/HORVU.MOREX.r2.7HG0578670/HORVU.MOREX.r2.3HG0194360/HORVU.MOREX.r2.3HG0264820",11,"Catalysis of the reaction: n-alkanal + NAD(P)+ = alk-2-enal + NAD(P)H + H+.","MF","2-alkenal reductase [NAD(P)+] activity","eQTL_cluster4"
"41","GO:0035556","Kinase family protein","8/530","113/32782",0.000514025740828819,0.0056345129283159,0.00461998843983796,"HORVU.MOREX.r2.1HG0011560/HORVU.MOREX.r2.5HG0375640/HORVU.MOREX.r2.2HG0088780/HORVU.MOREX.r2.2HG0088580/HORVU.MOREX.r2.4HG0320300/HORVU.MOREX.r2.5HG0355400/HORVU.MOREX.r2.5HG0386030/HORVU.MOREX.r2.1HG0011580",8,"The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell.","BP","intracellular signal transduction","eQTL_cluster4"
"42","GO:0042626","ABC transporter ATP-binding protein","10/530","122/32782",3.06622997986672e-05,0.000582583696174677,0.000477686354758184,"HORVU.MOREX.r2.4HG0321840/HORVU.MOREX.r2.5HG0424850/HORVU.MOREX.r2.2HG0161910/HORVU.MOREX.r2.3HG0275220/HORVU.MOREX.r2.5HG0424840/HORVU.MOREX.r2.6HG0476760/HORVU.MOREX.r2.5HG0421070/HORVU.MOREX.r2.3HG0257810/HORVU.MOREX.r2.6HG0479930/HORVU.MOREX.r2.2HG0137130",10,"Primary active transporter of a solute across a membrane, via the reaction: ATP + H2O = ADP + phosphate, to directly drive the transport of a substance across a membrane. The transport protein may be transiently phosphorylated (P-type transporters), or not (ABC-type transporters and other families of transporters). Primary active transport occurs up the solute's concentration gradient and is driven by a primary energy source.","MF","ATPase-coupled transmembrane transporter activity","eQTL_cluster4"
"43","GO:0045300","Acyl-[acyl-carrier-protein] desaturase","4/530","18/32782",0.000172640498535882,0.00223647918557847,0.00183378902751032,"HORVU.MOREX.r2.3HG0259040/HORVU.MOREX.r2.2HG0133160/HORVU.MOREX.r2.5HG0378770/HORVU.MOREX.r2.5HG0445470",4,"Catalysis of the reaction: stearoyl-[acyl-carrier protein] + reduced acceptor + O2 = oleoyl-[acyl-carrier protein] + acceptor + H2O. The enzyme requires ferredoxin.","MF","acyl-[acyl-carrier-protein] desaturase activity","eQTL_cluster4"
"44","GO:0050664","Respiratory burst oxidase-like protein","3/530","16/32782",0.00201152492020042,0.0179151438205349,0.0146894254040951,"HORVU.MOREX.r2.1HG0059230/HORVU.MOREX.r2.1HG0059220/HORVU.MOREX.r2.4HG0341190",3,"Catalysis of an oxidation-reduction (redox) reaction in which NADH or NADPH acts as a hydrogen or electron donor and reduces an oxygen molecule.","MF","oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor","eQTL_cluster4"
"45","GO:0071805","Potassium transporter","16/530","135/32782",6.85536421680838e-10,6.51259600596796e-08,5.33996791625074e-08,"HORVU.MOREX.r2.2HG0178310/HORVU.MOREX.r2.2HG0158090/HORVU.MOREX.r2.2HG0158800/HORVU.MOREX.r2.2HG0093910/HORVU.MOREX.r2.5HG0420460/HORVU.MOREX.r2.2HG0117130/HORVU.MOREX.r2.4HG0277550/HORVU.MOREX.r2.3HG0262540/HORVU.MOREX.r2.1HG0007070/HORVU.MOREX.r2.7HG0599600/HORVU.MOREX.r2.6HG0516530/HORVU.MOREX.r2.4HG0290630/HORVU.MOREX.r2.7HG0557110/HORVU.MOREX.r2.2HG0171110/HORVU.MOREX.r2.7HG0547700/HORVU.MOREX.r2.1HG0054170",16,"A process in which a potassium ion is transported from one side of a membrane to the other.","BP","potassium ion transmembrane transport","eQTL_cluster4"
