"GO","GO_definition","GO_ontology","GO_term"
"GO:0005886","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins.","CC","plasma membrane"
"GO:0008150","A biological process represents a specific objective that the organism is genetically programmed to achieve. Biological processes are often described by their outcome or ending state, e.g., the biological process of cell division results in the creation of two daughter cells (a divided cell) from a single parent cell. A biological process is accomplished by a particular set of molecular functions carried out by specific gene products (or macromolecular complexes), often in a highly regulated manner and in a particular temporal sequence.","BP","biological_process"
"GO:0016874","Catalysis of the joining of two substances, or two groups within a single molecule, with the concomitant hydrolysis of the diphosphate bond in ATP or a similar triphosphate.","MF","ligase activity"
"GO:0005778","The lipid bilayer surrounding a peroxisome.","CC","peroxisomal membrane"
"GO:0016560","The process in which a complex formed of a peroxisome targeting sequence (PTS) receptor bound to a PTS-bearing protein docks with translocation machinery in the peroxisomal membrane.","BP","protein import into peroxisome matrix, docking"
"GO:0003735","The action of a molecule that contributes to the structural integrity of the ribosome.","MF","structural constituent of ribosome"
"GO:0005622","The living contents of a cell; the matter contained within (but not including) the plasma membrane, usually taken to exclude large vacuoles and masses of secretory or ingested material. In eukaryotes it includes the nucleus and cytoplasm.","CC","intracellular"
"GO:0005840","An intracellular organelle, about 200 A in diameter, consisting of RNA and protein. It is the site of protein biosynthesis resulting from translation of messenger RNA (mRNA). It consists of two subunits, one large and one small, each containing only protein and RNA. Both the ribosome and its subunits are characterized by their sedimentation coefficients, expressed in Svedberg units (symbol: S). Hence, the prokaryotic ribosome (70S) comprises a large (50S) subunit and a small (30S) subunit, while the eukaryotic ribosome (80S) comprises a large (60S) subunit and a small (40S) subunit. Two sites on the ribosomal large subunit are involved in translation, namely the aminoacyl site (A site) and peptidyl site (P site). Ribosomes from prokaryotes, eukaryotes, mitochondria, and chloroplasts have characteristically distinct ribosomal proteins.","CC","ribosome"
"GO:0006412","The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome.","BP","translation"
"GO:0016740","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2.","MF","transferase activity"
"GO:0004144","Catalysis of the reaction: acyl-CoA + 1,2-diacylglycerol = CoA + triacylglycerol.","MF","diacylglycerol O-acyltransferase activity"
"GO:0016746","Catalysis of the transfer of an acyl group from one compound (donor) to another (acceptor).","MF","transferase activity, transferring acyl groups"
"GO:0045017","The chemical reactions and pathways resulting in the formation of glycerolipids, any lipid with a glycerol backbone.","BP","glycerolipid biosynthetic process"
"GO:0000943","A complex of the retrotransposon RNA genome, reverse transcriptase, integrase, and associated molecules required for reproduction and integration of the retrotransposon into the host genome; the main structural molecule of the nucleocapsid is often a gag protein homolog.","CC","retrotransposon nucleocapsid"
"GO:0003676","Interacting selectively and non-covalently with any nucleic acid.","MF","nucleic acid binding"
"GO:0003677","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid).","MF","DNA binding"
"GO:0003723","Interacting selectively and non-covalently with an RNA molecule or a portion thereof.","MF","RNA binding"
"GO:0003824","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic.","MF","catalytic activity"
"GO:0003887","Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1); the synthesis of DNA from deoxyribonucleotide triphosphates in the presence of a DNA template and a 3'hydroxyl group.","MF","DNA-directed DNA polymerase activity"
"GO:0003964","Catalysis of the reaction: deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1). Catalyzes RNA-template-directed extension of the 3'- end of a DNA strand by one deoxynucleotide at a time.","MF","RNA-directed DNA polymerase activity"
"GO:0004190","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile.","MF","aspartic-type endopeptidase activity"
"GO:0004518","Catalysis of the hydrolysis of ester linkages within nucleic acids.","MF","nuclease activity"
"GO:0004519","Catalysis of the hydrolysis of ester linkages within nucleic acids by creating internal breaks.","MF","endonuclease activity"
"GO:0004523","Catalysis of the endonucleolytic cleavage of RNA in RNA-DNA hybrids to 5'-phosphomonoesters.","MF","RNA-DNA hybrid ribonuclease activity"
"GO:0004540","Catalysis of the hydrolysis of phosphodiester bonds in chains of RNA.","MF","ribonuclease activity"
"GO:0005634","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent.","CC","nucleus"
"GO:0005737","All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures.","CC","cytoplasm"
"GO:0006278","A DNA biosynthetic process that uses RNA as a template for RNA-dependent DNA polymerases (e.g. reverse transcriptase) that synthesize the new strand.","BP","RNA-dependent DNA biosynthetic process"
"GO:0006310","Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Interchromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction.","BP","DNA recombination"
"GO:0006508","The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.","BP","proteolysis"
"GO:0008152","The chemical reactions and pathways, including anabolism and catabolism, by which living organisms transform chemical substances. Metabolic processes typically transform small molecules, but also include macromolecular processes such as DNA repair and replication, and protein synthesis and degradation.","BP","metabolic process"
"GO:0008233","Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.","MF","peptidase activity"
"GO:0015074","The process in which a segment of DNA is incorporated into another, usually larger, DNA molecule such as a chromosome.","BP","DNA integration"
"GO:0016779","Catalysis of the transfer of a nucleotidyl group to a reactant.","MF","nucleotidyltransferase activity"
"GO:0032196","Any process involved in mediating the movement of discrete segments of DNA between nonhomologous sites.","BP","transposition"
"GO:0032197","Any process involved in a type of transpositional recombination which occurs via an RNA intermediate.","BP","transposition, RNA-mediated"
"GO:0071897","The cellular DNA metabolic process resulting in the formation of DNA, deoxyribonucleic acid, one of the two main types of nucleic acid, consisting of a long unbranched macromolecule formed from one or two strands of linked deoxyribonucleotides, the 3'-phosphate group of each constituent deoxyribonucleotide being joined in 3',5'-phosphodiester linkage to the 5'-hydroxyl group of the deoxyribose moiety of the next one.","BP","DNA biosynthetic process"
"GO:0090305","The nucleic acid metabolic process in which the phosphodiester bonds between nucleotides are cleaved by hydrolysis.","BP","nucleic acid phosphodiester bond hydrolysis"
"GO:0090501","The RNA metabolic process in which the phosphodiester bonds between ribonucleotides are cleaved by hydrolysis.","BP","RNA phosphodiester bond hydrolysis"
"GO:0090502","The chemical reactions and pathways involving the hydrolysis of internal 3',5'-phosphodiester bonds in one or two strands of ribonucleotides.","BP","RNA phosphodiester bond hydrolysis, endonucleolytic"
"GO:0006629","The chemical reactions and pathways involving lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent. Includes fatty acids; neutral fats, other fatty-acid esters, and soaps; long-chain (fatty) alcohols and waxes; sphingoids and other long-chain bases; glycolipids, phospholipids and sphingolipids; and carotenes, polyprenols, sterols, terpenes and other isoprenoids.","BP","lipid metabolic process"
"GO:0080019","Catalysis of the reaction: a very long chain fatty acyl-CoA + NADPH + H+ = a very long chain primary alcohol + NADP+ + CoA.","MF","fatty-acyl-CoA reductase (alcohol-forming) activity"
"GO:0102965","Catalysis of the reaction: 2 NADPH + 2 H+ + a long-chain acyl-CoA = coenzyme A + 2 NADP + a long-chain alcohol.","MF","alcohol-forming fatty acyl-CoA reductase activity"
"GO:0006952","Reactions, triggered in response to the presence of a foreign body or the occurrence of an injury, which result in restriction of damage to the organism attacked or prevention/recovery from the infection caused by the attack.","BP","defense response"
"GO:0005576","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.","CC","extracellular region"
"GO:0030246","Interacting selectively and non-covalently with any carbohydrate, which includes monosaccharides, oligosaccharides and polysaccharides as well as substances derived from monosaccharides by reduction of the carbonyl group (alditols), by oxidation of one or more hydroxy groups to afford the corresponding aldehydes, ketones, or carboxylic acids, or by replacement of one or more hydroxy group(s) by a hydrogen atom. Cyclitols are generally not regarded as carbohydrates.","MF","carbohydrate binding"
"GO:0048046","The cell membranes and intracellular regions in a plant are connected through plasmodesmata, and plants may be described as having two major compartments: the living symplast and the non-living apoplast. The apoplast is external to the plasma membrane and includes cell walls, intercellular spaces and the lumen of dead structures such as xylem vessels. Water and solutes pass freely through it.","CC","apoplast"
"GO:0006355","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription.","BP","regulation of transcription, DNA-templated"
"GO:0043531","Interacting selectively and non-covalently with ADP, adenosine 5'-diphosphate.","MF","ADP binding"
"GO:0004553","Catalysis of the hydrolysis of any O-glycosyl bond.","MF","hydrolase activity, hydrolyzing O-glycosyl compounds"
"GO:0005975","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y. Includes the formation of carbohydrate derivatives by the addition of a carbohydrate residue to another molecule.","BP","carbohydrate metabolic process"
"GO:0007015","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking.","BP","actin filament organization"
"GO:0016798","Catalysis of the hydrolysis of any glycosyl bond.","MF","hydrolase activity, acting on glycosyl bonds"
"GO:0051015","Interacting selectively and non-covalently with an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits.","MF","actin filament binding"
"GO:0045735","Functions in the storage of nutritious substrates.","MF","nutrient reservoir activity"
"GO:0000413","The modification of a protein by cis-trans isomerization of a proline residue.","BP","protein peptidyl-prolyl isomerization"
"GO:0003755","Catalysis of the reaction: peptidyl-proline (omega=180) = peptidyl-proline (omega=0).","MF","peptidyl-prolyl cis-trans isomerase activity"
"GO:0006457","The process of assisting in the covalent and noncovalent assembly of single chain polypeptides or multisubunit complexes into the correct tertiary structure.","BP","protein folding"
"GO:0009507","A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma.","CC","chloroplast"
"GO:0009533","Unstacked thylakoids that connect the grana stacks through the stroma.","CC","chloroplast stromal thylakoid"
"GO:0009534","Sac-like membranous structures (cisternae) in a chloroplast combined into stacks (grana) and present singly in the stroma (stroma thylakoids or frets) as interconnections between grana. An example of this component is found in Arabidopsis thaliana.","CC","chloroplast thylakoid"
"GO:0009535","The pigmented membrane of a chloroplast thylakoid. An example of this component is found in Arabidopsis thaliana.","CC","chloroplast thylakoid membrane"
"GO:0009579","A membranous cellular structure that bears the photosynthetic pigments in plants, algae, and cyanobacteria. In cyanobacteria thylakoids are of various shapes and are attached to, or continuous with, the plasma membrane. In eukaryotes they are flattened, membrane-bounded disk-like structures located in the chloroplasts; in the chloroplasts of higher plants the thylakoids form dense stacks called grana. Isolated thylakoid preparations can carry out photosynthetic electron transport and the associated phosphorylation.","CC","thylakoid"
"GO:0010275","The aggregation, arrangement and bonding together of a set of components to form NAD(P)H dehydrogenase complex, which is involved in electron transport from an unidentified electron donor, possibly NAD(P)H or ferredoxin(Fd) to the plastoquinone pool.","BP","NAD(P)H dehydrogenase complex assembly"
"GO:0016853","Catalysis of the geometric or structural changes within one molecule. Isomerase is the systematic name for any enzyme of EC class 5.","MF","isomerase activity"
"GO:0031977","The volume enclosed by a thylakoid membrane.","CC","thylakoid lumen"
"GO:0043424","Interacting selectively and non-covalently with protein histidine kinase.","MF","protein histidine kinase binding"
"GO:0000165","An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain an additional tiers: the upstream MAP4K. The kinases in each tier phosphorylate and activate the kinase in the downstream tier to transmit a signal within a cell.","BP","MAPK cascade"
"GO:0000186","The initiation of the activity of the inactive enzyme MAP kinase kinase (MAPKK).","BP","activation of MAPKK activity"
"GO:0004709","Catalysis of the phosphorylation and activation of a MAP kinase kinase; each MAP kinase kinase can be phosphorylated by any of several MAP kinase kinase kinases.","MF","MAP kinase kinase kinase activity"
"GO:0032440","Catalysis of the reaction: n-alkanal + NAD(P)+ = alk-2-enal + NAD(P)H + H+.","MF","2-alkenal reductase [NAD(P)+] activity"
"GO:0016702","Catalysis of an oxidation-reduction (redox) reaction in which hydrogen or electrons are transferred from one donor, and two oxygen atoms is incorporated into a donor.","MF","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen"
"GO:0051213","Catalysis of an oxidation-reduction (redox) reaction in which both atoms of oxygen from one molecule of O2 are incorporated into the (reduced) product(s) of the reaction. The two atoms of oxygen may be distributed between two different products.","MF","dioxygenase activity"
"GO:0008033","The process in which a pre-tRNA molecule is converted to a mature tRNA, ready for addition of an aminoacyl group.","BP","tRNA processing"
"GO:0008168","Catalysis of the transfer of a methyl group to an acceptor molecule.","MF","methyltransferase activity"
"GO:0030488","The posttranscriptional addition of methyl groups to specific residues in a tRNA molecule.","BP","tRNA methylation"
"GO:0032259","The process in which a methyl group is covalently attached to a molecule.","BP","methylation"
"GO:0052906","Catalysis of the reaction: S-adenosyl-L-methionine + guanine(37) in tRNA = N(1)-methylguanine(37) in tRNA + S-adenosyl-L-homocysteine.","MF","tRNA (guanine(37)-N(1))-methyltransferase activity"
"GO:0000124","A SAGA-type histone acetyltransferase complex that contains Spt8 (in budding yeast) or a homolog thereof; additional polypeptides include Spt group, consisting of Spt7, Spt3, and Spt20/Ada5, which interact with the TATA-binding protein (TBP); the Ada group, consisting of Ada1, Ada2, Ada3, Ada4/Gcn5, and Ada5/Spt20, which is functionally linked to the nucleosomal HAT activity; Tra1, an ATM/PI-3 kinase-related protein that targets DNA-bound activators for recruitment to promoters; the TBP-associated factor (TAF) proteins, consisting of Taf5, Taf6, Taf9, Taf10, and Taf12, which mediate nucleosomal HAT activity and are thought to help recruit the basal transcription machinery; the ubiquitin specifc protease Ubp-8.","CC","SAGA complex"
"GO:0003743","Functions in the initiation of ribosome-mediated translation of mRNA into a polypeptide.","MF","translation initiation factor activity"
"GO:0005669","A complex composed of TATA binding protein (TBP) and TBP associated factors (TAFs); the total mass is typically about 800 kDa. Most of the TAFs are conserved across species. In TATA-containing promoters for RNA polymerase II (Pol II), TFIID is believed to recognize at least two distinct elements, the TATA element and a downstream promoter element. TFIID is also involved in recognition of TATA-less Pol II promoters. Binding of TFIID to DNA is necessary but not sufficient for transcription initiation from most RNA polymerase II promoters.","CC","transcription factor TFIID complex"
"GO:0006352","Any process involved in the assembly of the RNA polymerase preinitiation complex (PIC) at the core promoter region of a DNA template, resulting in the subsequent synthesis of RNA from that promoter. The initiation phase includes PIC assembly and the formation of the first few bonds in the RNA chain, including abortive initiation, which occurs when the first few nucleotides are repeatedly synthesized and then released. The initiation phase ends just before and does not include promoter clearance, or release, which is the transition between the initiation and elongation phases of transcription.","BP","DNA-templated transcription, initiation"
"GO:0006413","The process preceding formation of the peptide bond between the first two amino acids of a protein. This includes the formation of a complex of the ribosome, mRNA or circRNA, and an initiation complex that contains the first aminoacyl-tRNA.","BP","translational initiation"
"GO:0009860","Growth of pollen via tip extension of the intine wall.","BP","pollen tube growth"
"GO:0046695","A SAGA-type histone acetyltransferase complex that contains Rtg2 and a smaller form of Spt7 than the fungal SAGA complex, and lacks Spt8. The complex is involved in the yeast retrograde response pathway, which is important for gene expression changes during mitochondrial dysfunction.","CC","SLIK (SAGA-like) complex"
"GO:0046982","Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer.","MF","protein heterodimerization activity"
"GO:0051090","Any process that modulates the frequency, rate or extent of the activity of a transcription factor, any factor involved in the initiation or regulation of transcription.","BP","regulation of DNA-binding transcription factor activity"
"GO:0007034","The directed movement of substances into, out of or within a vacuole.","BP","vacuolar transport"
"GO:0005509","Interacting selectively and non-covalently with calcium ions (Ca2+).","MF","calcium ion binding"
"GO:0030247","Interacting selectively and non-covalently with any polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically.","MF","polysaccharide binding"
"GO:0008270","Interacting selectively and non-covalently with zinc (Zn) ions.","MF","zinc ion binding"
"GO:0005504","Interacting selectively and non-covalently with fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis.","MF","fatty acid binding"
"GO:0006631","The chemical reactions and pathways involving fatty acids, aliphatic monocarboxylic acids liberated from naturally occurring fats and oils by hydrolysis.","BP","fatty acid metabolic process"
"GO:0009570","The space enclosed by the double membrane of a chloroplast but excluding the thylakoid space. It contains DNA, ribosomes and some temporary products of photosynthesis.","CC","chloroplast stroma"
"GO:0016872","The catalysis of certain rearrangements of a molecule to break or form a ring.","MF","intramolecular lyase activity"
"GO:0009744","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a sucrose stimulus.","BP","response to sucrose"
"GO:0043562","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of inorganic nitrogen.","BP","cellular response to nitrogen levels"
"GO:0010287","A lipoprotein particle present in chloroplasts. They are rich in non-polar lipids (triglycerides, esters) as well as in prenylquinones, plastoquinone and tocopherols. Plastoglobules are often associated with thylakoid membranes, suggesting an exchange of lipids with thylakoids.","CC","plastoglobule"
"GO:0016747","Catalysis of the transfer of an acyl group, other than amino-acyl, from one compound (donor) to another (acceptor).","MF","transferase activity, transferring acyl groups other than amino-acyl groups"
"GO:0033306","The chemical reactions and pathways involving phytol, (2E,7R,11R)-3,7,11,15-tetramethylhexadec-2-en-1-ol.","BP","phytol metabolic process"
"GO:0003674","A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. These actions are described from two distinct but related perspectives: (1) biochemical activity, and (2) role as a component in a larger system/process.","MF","molecular_function"
"GO:0005739","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration.","CC","mitochondrion"
"GO:0005743","The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae.","CC","mitochondrial inner membrane"
"GO:0005829","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes.","CC","cytosol"
"GO:0006974","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism.","BP","cellular response to DNA damage stimulus"
"GO:0042407","The assembly of cristae, the inwards folds of the inner mitochondrial membrane.","BP","cristae formation"
"GO:0061617","Mitochondrial inner membrane complex involved in maintenance of crista junctions, inner membrane architecture, and formation of contact sites to the outer membrane. In Saccharomyces cerevisiae the complex has six subunits: MIC10, MIC12, MIC19, MIC26, MIC27, and MIC60.","CC","MICOS complex"
"GO:0004499","Catalysis of the reaction: N,N-dimethylaniline + NADPH + H+ + O2 = N,N-dimethylaniline N-oxide + NADP+ + H2O.","MF","N,N-dimethylaniline monooxygenase activity"
"GO:0050660","Interacting selectively and non-covalently with FAD, flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes, in either the oxidized form, FAD, or the reduced form, FADH2.","MF","flavin adenine dinucleotide binding"
"GO:0050661","Interacting selectively and non-covalently with nicotinamide-adenine dinucleotide phosphate, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NADP+, or the reduced form, NADPH.","MF","NADP binding"
"GO:0008610","The chemical reactions and pathways resulting in the formation of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent.","BP","lipid biosynthetic process"
"GO:0005515","Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).","MF","protein binding"
"GO:0005783","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached).","CC","endoplasmic reticulum"
"GO:0010155","Any process that modulates the frequency, rate or extent of proton transport into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","BP","regulation of proton transport"
"GO:0016758","Catalysis of the transfer of a hexosyl group from one compound (donor) to another (acceptor).","MF","transferase activity, transferring hexosyl groups"
"GO:0022857","Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other.","MF","transmembrane transporter activity"
"GO:0055085","The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other.","BP","transmembrane transport"
"GO:0016311","The process of removing one or more phosphoric (ester or anhydride) residues from a molecule.","BP","dephosphorylation"
"GO:0042578","Catalysis of the reaction: RPO-R' + H2O = RPOOH + R'H. This reaction is the hydrolysis of any phosphoric ester bond, any ester formed from orthophosphoric acid, O=P(OH)3.","MF","phosphoric ester hydrolase activity"
"GO:0052866","Catalysis of the reaction: phosphatidylinositol phosphate(n) + H2O = phosphatidylinositol phosphate(n-1) + phosphate. This reaction is the removal of a phosphate group from a phosphatidylinositol phosphate.","MF","phosphatidylinositol phosphate phosphatase activity"
"GO:0007165","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.","BP","signal transduction"
"GO:0005773","A closed structure, found only in eukaryotic cells, that is completely surrounded by unit membrane and contains liquid material. Cells contain one or several vacuoles, that may have different functions from each other. Vacuoles have a diverse array of functions. They can act as a storage organelle for nutrients or waste products, as a degradative compartment, as a cost-effective way of increasing cell size, and as a homeostatic regulator controlling both turgor pressure and pH of the cytosol.","CC","vacuole"
"GO:0005774","The lipid bilayer surrounding the vacuole and separating its contents from the cytoplasm of the cell.","CC","vacuolar membrane"
"GO:0006811","The directed movement of charged atoms or small charged molecules into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.","BP","ion transport"
"GO:0015078","Enables the transfer of a proton from one side of a membrane to the other.","MF","proton transmembrane transporter activity"
"GO:0015991",NA,NA,NA
"GO:0033177","A protein complex that forms part of a proton-transporting two-sector ATPase complex and carries out proton transport across a membrane. The proton-transporting domain (F0, V0, or A0) includes integral and peripheral membrane proteins.","CC","proton-transporting two-sector ATPase complex, proton-transporting domain"
"GO:0033179","A protein complex that forms part of a proton-transporting V-type ATPase and mediates proton transport across a membrane. The V0 complex consists of at least four different subunits (a,c,d and e); six or more c subunits form a proton-binding rotor ring.","CC","proton-transporting V-type ATPase, V0 domain"
"GO:0004713","Catalysis of the reaction: ATP + a protein tyrosine = ADP + protein tyrosine phosphate.","MF","protein tyrosine kinase activity"
"GO:0018108","The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine.","BP","peptidyl-tyrosine phosphorylation"
"GO:0019012","The complete fully infectious extracellular virus particle.","CC","virion"
"GO:0019031","The lipid bilayer of a virion that surrounds the protein capsid. May also contain glycoproteins.","CC","viral envelope"
"GO:0019064","Fusion of a viral membrane with the host cell membrane during viral entry. Results in release of the virion contents into the cytoplasm.","BP","fusion of virus membrane with host plasma membrane"
"GO:0020002","The plasma membrane surrounding a host cell.","CC","host cell plasma membrane"
"GO:0033644","Double layer of lipid molecules as it encloses host cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins. The host is defined as the larger of the organisms involved in a symbiotic interaction.","CC","host cell membrane"
"GO:0039663","Merging of the virion membrane and a host membrane (host plasma membrane or host organelle membrane) that is involved in the uptake of a virus into a host cell.","BP","membrane fusion involved in viral entry into host cell"
